0	53
1	51
2	50
3	49
4	47
5	46
6	45
7	43
8	42
9	41
10	39
11	38
12	36
13	35
14	34
15	32
16	31
17	30
18	28
19	27
20	25
21	24
22	22
23	21
24	20
25	18
26	17
27	16
28	14
29	13
30	12
31	11
32	10
33	8
34	7
35	6
36	5
37	5
38	4
39	3
40	3
41	2
42	1
43	1
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	1
55	1
56	2
57	2
58	3
59	4
60	4
61	5
62	6
63	8
64	9
65	9
66	10
67	11
68	13
69	14
70	14
71	16
72	17
73	18
74	20
75	21
76	23
77	24
78	26
79	27
80	28
81	30
82	31
83	32
84	34
85	35
86	37
87	38
88	40
89	41
90	42
91	43
92	45
93	46
94	48
95	50
96	50
97	52
98	53
